2011-05-26 21:52:53 Notice: Notice (8): Undefined property: Survey::$SurveyOption in [/home/embalao/embalao.org/tecnocenter/app/app_controller.php, line 63]
2011-05-26 21:53:02 Notice: Notice (8): Undefined property: Survey::$SurveyOption in [/home/embalao/embalao.org/tecnocenter/app/app_controller.php, line 63]
2011-05-27 04:43:51 Notice: Notice (8): Undefined property: Survey::$SurveyOption in [/home/embalao/embalao.org/tecnocenter/app/app_controller.php, line 63]
2011-05-27 04:44:08 Notice: Notice (8): Undefined property: Aro::$Permission in [/home/embalao/embalao.org/tecnocenter/cake/libs/controller/components/acl.php, line 268]
2011-05-29 01:48:11 Notice: Notice (8): Undefined property: Survey::$SurveyOption in [/home/embalao/embalao.org/tecnocenter/app/app_controller.php, line 63]
2011-05-29 07:48:07 Notice: Notice (8): Undefined property: Survey::$SurveyOption in [/home/embalao/embalao.org/tecnocenter/app/app_controller.php, line 63]
2011-05-29 15:51:54 Notice: Notice (8): Undefined property: Survey::$SurveyOption in [/home/embalao/embalao.org/tecnocenter/app/app_controller.php, line 63]
2011-05-29 17:12:01 Notice: Notice (8): Undefined property: Survey::$SurveyOption in [/home/embalao/embalao.org/tecnocenter/app/app_controller.php, line 63]
2011-05-31 09:51:37 Notice: Notice (8): Undefined property: Survey::$SurveyOption in [/home/embalao/embalao.org/tecnocenter/app/app_controller.php, line 63]
2011-05-31 16:18:32 Notice: Notice (8): Undefined property: Survey::$SurveyOption in [/home/embalao/embalao.org/tecnocenter/app/app_controller.php, line 63]
2011-05-31 23:45:46 Notice: Notice (8): Undefined property: Survey::$SurveyOption in [/home/embalao/embalao.org/tecnocenter/app/app_controller.php, line 63]
2011-06-01 04:07:48 Notice: Notice (8): Undefined property: Survey::$SurveyOption in [/home/embalao/embalao.org/tecnocenter/app/app_controller.php, line 63]
2011-06-02 15:56:19 Notice: Notice (8): Undefined property: Survey::$SurveyOption in [/home/embalao/embalao.org/tecnocenter/app/app_controller.php, line 63]
2011-06-04 09:30:17 Notice: Notice (8): Undefined property: Survey::$SurveyOption in [/home/embalao/embalao.org/tecnocenter/app/app_controller.php, line 63]
2011-06-05 07:39:27 Notice: Notice (8): Undefined property: Survey::$SurveyOption in [/home/embalao/embalao.org/tecnocenter/app/app_controller.php, line 63]
2011-06-06 01:11:04 Notice: Notice (8): Undefined property: Survey::$SurveyOption in [/home/embalao/embalao.org/tecnocenter/app/app_controller.php, line 63]
2011-06-06 06:08:32 Notice: Notice (8): Undefined property: Survey::$SurveyOption in [/home/embalao/embalao.org/tecnocenter/app/app_controller.php, line 63]
